This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    20101
Number of nonzeros in inequality constraint Jacobian.:     4360
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6924
                     variables with only lower bounds:     1599
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5499
Total number of inequality constraints...............:     1252
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1252

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 163  1.3802859e+02 4.04e-04 6.91e-02  -3.1 8.22e-02    -  1.00e+00 1.00e+00f  1
 164  1.3802329e+02 2.96e-04 4.58e-01  -3.1 3.71e-02    -  1.00e+00 2.50e-01h  3
 165  1.3802000e+02 3.15e-06 1.04e-02  -3.1 7.21e-03    -  1.00e+00 1.00e+00h  1
 166  1.3464593e+02 1.95e-05 1.00e+04  -4.4 2.33e-02    -  1.00e+00 8.76e-01f  1
 167  1.3455414e+02 5.56e-05 1.83e+03  -4.0 3.85e-02    -  1.00e+00 5.00e-01h  2
 168  1.3446702e+02 3.76e-05 8.62e-02  -4.0 6.90e-03    -  1.00e+00 1.00e+00h  1
 169  1.3446023e+02 1.14e-05 1.84e-02  -4.0 5.86e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.3445920e+02 3.98e-07 9.30e-03  -4.0 3.07e-03    -  1.00e+00 1.00e+00h  1
 171  1.3445584e+02 2.21e-05 1.05e+00  -4.0 7.89e-02    -  1.00e+00 5.00e-01h  2
 172  1.3458009e+02 3.72e-06 5.74e-01  -4.0 1.91e-01    -  1.00e+00 1.00e+00H  1
 173  1.3446916e+02 6.04e-04 5.04e-01  -4.1 5.20e-02    -  1.00e+00 1.00e+00f  1
 174  1.3443284e+02 7.70e-04 2.52e-01  -4.1 1.33e-01    -  9.35e-01 1.00e+00h  1
 175  1.3476571e+02 1.16e-05 5.47e-01  -4.0 8.51e-02    -  1.00e+00 1.00e+00H  1
 176  1.3436334e+02 8.50e-04 1.10e-01  -4.1 1.64e-01    -  1.00e+00 1.00e+00f  1
 177  1.3453406e+02 6.57e-04 7.77e+03  -3.7 1.19e-01    -  1.00e+00 2.50e-01f  3
 178  1.3447208e+02 2.06e-04 4.50e-02  -4.0 1.35e-02    -  1.00e+00 1.00e+00h  1
 179  1.3447529e+02 1.39e-05 6.49e-02  -4.0 4.25e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
